Series,Episode,Task,Description,Contestant,Score
Series 5,Episode 3: Phoenix. (27 September 2017),1,Prize: Thing they're actually proudest of.,Sally Phillips,4
Series 5,Episode 3: Phoenix. (27 September 2017),2,Remove the table tennis ball from the pipe. The pipe must not move.,Sally Phillips,4
Series 5,Episode 3: Phoenix. (27 September 2017),3,Make this coconut look like a businessman.,Sally Phillips,2
Series 5,Episode 3: Phoenix. (27 September 2017),4,"Items: Jelly, Weetabix, Twiglet Eat one item.",Sally Phillips,5
Series 5,Episode 3: Phoenix. (27 September 2017),Balance one item on top of the red pole. The item must stay balanced until the entire task is complete. You may not take the pole out of the ground.,,Sally Phillips,
Series 5,Episode 3: Phoenix. (27 September 2017),"Standing behind this rope, throw one item into the bucket. You may retrieve the item if it misses, but you must be stood behind the rope on every throw. You may not move the rope or the bucket.",,Sally Phillips,
Series 5,Episode 3: Phoenix. (27 September 2017),5,"Live: Play table tennis with words. When the ball is within striking distance, you must say a word while pretending to hit the ball with your bat. That word must begin with the last letter of the previous word. If you fail to say a word within the time it would take you to hit a ball, you are out. After saying a word, you must run to the back of the opposite queue.",Sally Phillips,1
Series 5,Episode 4: Residue around the hoof. (4 October 2017),1,Prize: Most extraordinary souvenir.,Sally Phillips,3
Series 5,Episode 4: Residue around the hoof. (4 October 2017),2,Make Marmite.,Sally Phillips,2
Series 5,Episode 4: Residue around the hoof. (4 October 2017),3,Team: Do something remarkable synchronised.,Sally Phillips,3
Series 5,Episode 4: Residue around the hoof. (4 October 2017),4,"Wearing this blindfold, blow up this balloon so that its circumference is the same as the length of a standard cucumber.",Sally Phillips,2
Series 5,Episode 4: Residue around the hoof. (4 October 2017),Spot the difference. Have a look at the scene in front of you and explain exactly what's changed since you put the blindfold on.,5,Sally Phillips,
Series 5,Episode 4: Residue around the hoof. (4 October 2017),5,Sneeze.,Sally Phillips,DQ
Series 5,Episode 4: Residue around the hoof. (4 October 2017),6,"Live: Stand on one leg for the longest whilst playing a game of Greg says, Alex says. Your raised foot must remain above the balloon at all times and may not touch any other item.",Sally Phillips,3
Series 5,Episode 4: Residue around the hoof. (4 October 2017),T,Back throw a Swede.,Sally Phillips,–
Series 5,Episode 5: A wind-dried puffin. (11 October 2017),1,Prize: Most high octane item.,Sally Phillips,5
Series 5,Episode 5: A wind-dried puffin. (11 October 2017),2,"Put the biggest thing inside this balloon. The balloon must then be successfully inflated, tied, and bigger than your head.",Sally Phillips,0
Series 5,Episode 5: A wind-dried puffin. (11 October 2017),3,Generate a watercooler moment involving this watercooler.,Sally Phillips,5
Series 5,Episode 5: A wind-dried puffin. (11 October 2017),S,Send the Taskmaster an anonymous cheeky text message every single day for the next 5 months.,Sally Phillips,–
Series 5,Episode 5: A wind-dried puffin. (11 October 2017),4,"Make the tallest tower of cans on this table. Also, whilst building your tower, you must shake Alex's hand and say you're from a different country once every 10 seconds. Alex will blow his whistle every 10 seconds.",Sally Phillips,2
Series 5,Episode 6: Spoony Neeson. (18 October 2017),1,Prize: Best thing they've made themselves.,Sally Phillips,2
Series 5,Episode 6: Spoony Neeson. (18 October 2017),2,Balance Alex. You may not use humans to balance Alex..,Sally Phillips,4
Series 5,Episode 6: Spoony Neeson. (18 October 2017),3,"With this camera strapped to your head, record the most incredible footage.",Sally Phillips,5
Series 5,Episode 6: Spoony Neeson. (18 October 2017),S,Have your photo taken with this golden pineapple in other esteemed company.,Sally Phillips,–
Series 5,Episode 6: Spoony Neeson. (18 October 2017),"Bonus: Also, please don't say any words containing any of the letters in the word Taskmaster.",–,Sally Phillips,
Series 5,Episode 6: Spoony Neeson. (18 October 2017),5,Live: Make yourself monotone.,Sally Phillips,4
Series 5,Episode 6: Spoony Neeson. (18 October 2017),T,Get the most yoghurt near the middle of the target with one kick.,Sally Phillips,✔
Series 5,Episode 7: Boing boing. (25 October 2017),1,Prize: Most surprisingly expensive item.,Sally Phillips,4
Series 5,Episode 7: Boing boing. (25 October 2017),2,"Wearing that blindfold at all times, travel as far as possible in three minutes. Alex will be at your side at all times because he is a strong, independent, handsome man. On removing the blindfold, you will then have another three minutes to retrace your steps to your starting position.",Sally Phillips,3
Series 5,Episode 7: Boing boing. (25 October 2017),3,Muster the biggest coconut bobsleigh team. You may only use items from the caravan to secure your coconuts. You'll be disqualified if you use any item used by another contestant.,Sally Phillips,DQ
Series 5,Episode 7: Boing boing. (25 October 2017),4,"Vote for which contestant you think should receive five bonus points. The contestant who receives the most votes will receive five bonus points. You may vote for yourself. If, however, you vote for yourself and fail to receive the most votes, you will lose two points.",Sally Phillips,5
Series 5,Episode 7: Boing boing. (25 October 2017),5,Make a funny little flick-book film. The mat beneath your feet is the paper. The camera above your head will take photos of your paper.,Sally Phillips,3
Series 5,Episode 7: Boing boing. (25 October 2017),6,Live: Send the most things to the Taskmaster. Items must travel via zipline and land on your segment of the Taskmaster's table. You may not move from your current position.,Sally Phillips,1
Series 5,Episode 8: Their water's so delicious. (1 November 2017),1,Prize: Most awkward item for somebody else to take home.,Sally Phillips,3
Series 5,Episode 8: Their water's so delicious. (1 November 2017),2,Get this coconut as far from here as possible. You may not touch the ground. You may not step on anything more than once. The coconut may not travel by car.,Sally Phillips,5
Series 5,Episode 8: Their water's so delicious. (1 November 2017),3,Create the best graph.,Sally Phillips,3
Series 5,Episode 8: Their water's so delicious. (1 November 2017),S,Make the most fish puns.,Sally Phillips,0
Series 5,Episode 8: Their water's so delicious. (1 November 2017),4,Team: Write and perform a song about this woman.,Sally Phillips,2
Series 5,Episode 8: Their water's so delicious. (1 November 2017),5,Live: Throw the egg through the hoop and catch it as many times as possible. You may not touch the net or post.,Sally Phillips,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),1,Prize: Thing that genuinely causes them the most embarrassment.,Bob Mortimer,2
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,Bob Mortimer,2
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),3,Blow something substantial off this table.,Bob Mortimer,2
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),4,Perform a miracle.,Bob Mortimer,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),5,"Live: Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",Bob Mortimer,1
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),S,Sing along to the Taskmaster theme tune.,Bob Mortimer,–
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),1,Prize: Best thing.,Bob Mortimer,3
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),2,What's in the case?,Bob Mortimer,2
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,Bob Mortimer,5
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),4,Make the biggest mess and completely clear it up.,Bob Mortimer,1
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),5,Live: Record the highest total of steps on your pedometer. You may not touch your blindfold.,Bob Mortimer,2
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),1,Prize: Thing that genuinely causes them the most embarrassment.,Josh Widdicombe,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,Josh Widdicombe,1
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),3,Blow something substantial off this table.,Josh Widdicombe,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),4,Perform a miracle.,Josh Widdicombe,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),5,"Live: Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",Josh Widdicombe,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),S,Sing along to the Taskmaster theme tune.,Josh Widdicombe,0
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),1,Prize: Best thing.,Josh Widdicombe,3
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),2,What's in the case?,Josh Widdicombe,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,Josh Widdicombe,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),4,Make the biggest mess and completely clear it up.,Josh Widdicombe,3
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),5,Live: Record the highest total of steps on your pedometer. You may not touch your blindfold.,Josh Widdicombe,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),1,Prize: Thing that genuinely causes them the most embarrassment.,Katherine Ryan,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,Katherine Ryan,3
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),3,Blow something substantial off this table.,Katherine Ryan,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),4,Perform a miracle.,Katherine Ryan,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),5,"Live: Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",Katherine Ryan,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),S,Sing along to the Taskmaster theme tune.,Katherine Ryan,–
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),1,Prize: Best thing.,Katherine Ryan,1
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),2,What's in the case?,Katherine Ryan,1
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,Katherine Ryan,3
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),4,Make the biggest mess and completely clear it up.,Katherine Ryan,5
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),5,Live: Record the highest total of steps on your pedometer. You may not touch your blindfold.,Katherine Ryan,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),1,Prize: Thing that genuinely causes them the most embarrassment.,Noel Fielding,1
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,Noel Fielding,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),3,Blow something substantial off this table.,Noel Fielding,1
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),4,Perform a miracle.,Noel Fielding,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),5,"Live: Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",Noel Fielding,5
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),S,Sing along to the Taskmaster theme tune.,Noel Fielding,–
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),1,Prize: Best thing.,Noel Fielding,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),2,What's in the case?,Noel Fielding,5
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,Noel Fielding,2
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),4,Make the biggest mess and completely clear it up.,Noel Fielding,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),5,Live: Record the highest total of steps on your pedometer. You may not touch your blindfold.,Noel Fielding,1
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),1,Prize: Thing that genuinely causes them the most embarrassment.,Rob Beckett,3
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,Rob Beckett,4
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),3,Blow something substantial off this table.,Rob Beckett,5
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),4,Perform a miracle.,Rob Beckett,3
Champion of Champions,Episode 1: Wiley giraffe blower. (13 December 2017),5,"Live: Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",Rob Beckett,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),S,Sing along to the Taskmaster theme tune.,Rob Beckett,–
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),1,Prize: Best thing.,Rob Beckett,5
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),2,What's in the case?,Rob Beckett,3
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,Rob Beckett,2
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),4,Make the biggest mess and completely clear it up.,Rob Beckett,4
Champion of Champions,Episode 2: I've sinned again. (20 December 2017),5,Live: Record the highest total of steps on your pedometer. You may not touch your blindfold.,Rob Beckett,3
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),1,Prize: Best liquid.,Alice Levine,4
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),2,"Perform the best stunt, using this wheelbarrow.",Alice Levine,5
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),3,Make the highest tower using only what's in the bowl. You may wield the knife a maximum of 5 times.,Alice Levine,4
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),4,"Wearing a hat, kiss the portrait of the Taskmaster in the Taskmaster's House. The hat must not come from the grounds of the Taskmaster's house. Closest to 30 minutes wins.",Alice Levine,5
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),5,"Live: Sort the objects under the table in order of size. You must keep your elbows on the table top and your head in your hands at all times. The smallest object should be on your right, the largest on your left, and they must all be in line under your table. Also, there must be no fruit in your line-up. If there is any fruit left under your table, you will be disqualified.",Alice Levine,DQ
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),T,Spin around as many times as possible before kicking the ball at the caravan. Most spins wins.,Alice Levine,✔
Series 6,Episode 2: Tarpeters. (9 May 2018),1,Prize: Best hairy thing that isn't alive.,Alice Levine,2
Series 6,Episode 2: Tarpeters. (9 May 2018),2,"Get the highest score in darts. You can either throw one dart from 1 metre away, three darts from 2.37 metres away, or sixty darts from 10 metres away. When throwing, please stand behind whichever distance line you choose.",Alice Levine,2
Series 6,Episode 2: Tarpeters. (9 May 2018),3,Team: Keep Alex dry. You may not touch Alex at any point. You may not be within the compass when the shower is on.,Alice Levine,4
Series 6,Episode 2: Tarpeters. (9 May 2018),4,"Take a picture of a group of people, each holding an egg. Most people holding eggs in a picture wins. You must be in your picture.",Alice Levine,2
Series 6,Episode 2: Tarpeters. (9 May 2018),5,Make this wind-up little man go on the most extraordinary journey.,Alice Levine,3
Series 6,Episode 2: Tarpeters. (9 May 2018),6,"Live: When instructed, put your grape in either your mouth or your hand whilst staring at the Taskmaster. You must then answer the Taskmaster's questions and fool the Taskmaster into thinking your grape is not where your grape is. You must not eat your grape. Your answer must contain at least five words. If the Taskmaster correctly guesses correctly where your grape is, you are eliminated.",Alice Levine,0
Series 6,Episode 3: One warm prawn. (16 May 2018),1,Prize: Most magnificent day trip.,Alice Levine,1
Series 6,Episode 3: One warm prawn. (16 May 2018),2,"Write, illustrate and read out a bedtime story for grown-ups. Your bedtime story for grown-ups may be no more or fewer than 50 words.",Alice Levine,1
Series 6,Episode 3: One warm prawn. (16 May 2018),3,Make something spin for the longest. Your thing must not be a person.,Alice Levine,1
Series 6,Episode 3: One warm prawn. (16 May 2018),Bonus: Whoever eats the most baby food.,0,Alice Levine,1
Series 6,Episode 3: One warm prawn. (16 May 2018),5,"Live: Catch the most socks and put them in your laundry basket. You must stare straightforward throughout the task. You must not touch any pants. You must not move your laundry basket and if you drop a sock, you can't then pick it up. Every time you touch some pants, you lose a sock.",Alice Levine,1
Series 6,Episode 4: BMXing! (23 May 2018),1,Prize: Most thought-provoking thing.,Alice Levine,3
Series 6,Episode 4: BMXing! (23 May 2018),2,Do something manly with this cardboard box.,Alice Levine,4
Series 6,Episode 4: BMXing! (23 May 2018),3,Team: Have the most fun.,Alice Levine,2
Series 6,Episode 4: BMXing! (23 May 2018),Team: Exactly recreate your attempt at the first task.,5,Alice Levine,5
Series 6,Episode 4: BMXing! (23 May 2018),4,Make the best art using the entire contents of this can of squirty cream.,Alice Levine,4
Series 6,Episode 4: BMXing! (23 May 2018),5,"Remove the £5 note from under the pint without spilling any of the pint. If you spill any of the pint, you are disqualified.",Alice Levine,DQ
Series 6,Episode 4: BMXing! (23 May 2018),6,"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identities. You may not speak during the task. Everyone must shake hands with the Taskmaster once for at least 2 seconds. If the Taskmaster guesses your identity, you are disqualified.",Alice Levine,5
Series 6,Episode 5: H. (30 May 2018),1,Prize: Sturdiest thing.,Alice Levine,4
Series 6,Episode 5: H. (30 May 2018),2,"Without leaving the caravan, work out how long this piece of string is.",Alice Levine,2
Series 6,Episode 5: H. (30 May 2018),3,Pull this tablecloth off this table. Most eggs left unbroken on the table wins.,Alice Levine,5
Series 6,Episode 5: H. (30 May 2018),4,Team: Find the link then do it 100 times.,Alice Levine,3
Series 6,Episode 5: H. (30 May 2018),5,Pull off the most elaborate trick shot.,Alice Levine,1
Series 6,Episode 5: H. (30 May 2018),6,Live: Throw as many eggs onto the shelves as possible. You must lie flat on your bed at all times.,Alice Levine,1
Series 6,Episode 6: We met at mealtimes. (6 June 2018),1,Prize: Best thing that they've invented.,Alice Levine,1
Series 6,Episode 6: We met at mealtimes. (6 June 2018),2,Make the best snow globe.,Alice Levine,3
Series 6,Episode 6: We met at mealtimes. (6 June 2018),3,Team: Knock over as many ducks as possible. You must all remain on the red carpet throughout the task.,Alice Levine,DQ
Series 6,Episode 6: We met at mealtimes. (6 June 2018),4,Make an announcement. Biggest announcement to the most people wins.,Alice Levine,2
Series 6,Episode 6: We met at mealtimes. (6 June 2018),5,Make the best parachute for this wooden spoon. Slowest and most dramatic fall wins.,Alice Levine,4
Series 6,Episode 6: We met at mealtimes. (6 June 2018),6,"Live: You will each be given a category. You will each have 10 seconds to say things in that fall into that category. First, you must each predict how many correct answers you will give.",Alice Levine,5
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),1,Prize: Scariest thing from their kitchen.,Alice Levine,2
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),2,Knock the bails off the stumps. You've got a maximum of one over. You must make your attempts from behind this stump. No stumps may be moved.,Alice Levine,0
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Bonus: Name the person represented by the contents of the box.,0,Alice Levine,0
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),4,Write down as many obscure animals as possible.,Alice Levine,–
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Team: Guess the animals your teammate has on their list. Your teammate must only use mime. They may not write anything down or show you the list.,3,Alice Levine,-
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),5,"Wearing this sweatband around your head at all times, tuck as many items from the kitchen inside the sweatband as possible. Then make a pancake with a diameter of at least 9 inches. Then eat the whole pancake. Most kitchen items successfully kept within the sweatband wins.",Alice Levine,2
Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),6,Live: Get an egg as close to the centre of the target as possible. You must stand on the spot when taking your turn. You must ROLL two of the eggs. The person whose egg is furthest from the centre of the target after each round is eliminated.,Alice Levine,3
Series 6,Episode 8: What kind of pictures? (20 June 2018),1,Prize: Most interesting footwear.,Alice Levine,1
Series 6,Episode 8: What kind of pictures? (20 June 2018),2,Put something genuinely surprising inside this chocolate egg.,Alice Levine,5
Series 6,Episode 8: What kind of pictures? (20 June 2018),3,Find out what you have in common with this person. You must look the person in the eye throughout the task and shake hands every time you discover you have in common.,Alice Levine,2
Series 6,Episode 8: What kind of pictures? (20 June 2018),4,"Wearing these high heels, create the best dot-to-dot picture on this canvas.",Alice Levine,2
Series 6,Episode 8: What kind of pictures? (20 June 2018),5,Live: Stick a plaster to the correct body part. Alex will say the names of three body parts. You must stick a plaster to the body part that comes second in the dictionary out of the three body parts. The slowest person to stick a plaster to the correct body part is eliminated.,Alice Levine,3
Series 6,Episode 8: What kind of pictures? (20 June 2018),T,Receive a text message as fast as possible.,Alice Levine,–
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),1,Prize: Most pleasing thing the same size as a cat.,Alice Levine,3
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),2,Make the biggest bubble and burst it with your nose.,Alice Levine,5
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),3,Team: Perform a scene from Taskmaster The Musical.,Alice Levine,3
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),S,Make an outfit of things bought from this stationery shop.,Alice Levine,–
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Guess the pun Tim made after creating an outfit of stationery.,0,Alice Levine,0
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),4,Make this plastic bag as heavy as possible.,Alice Levine,3[2]
Series 6,Episode 9: The Bubble Brothers. (27 June 2018),5,Live: Pick up as many points as possible.,Alice Levine,4
Series 6,Episode 10: He was a different man. (4 July 2018),1,Prize: Least appropriate accessary for a wedding.,Alice Levine,3
Series 6,Episode 10: He was a different man. (4 July 2018),2,"Knock over the fewest skittles. You may place one item on each of the three ramp sections, or you may place two items on one of the ramp sections. Your items must be found on this table and may not include either you or the table. You may not tamper with the balls or the ramp..",Alice Levine,3
Series 6,Episode 10: He was a different man. (4 July 2018),3,Blow the candle out from the furthest distance. You may not relight the candle.,Alice Levine,3
Series 6,Episode 10: He was a different man. (4 July 2018),4,Tell the Taskmaster you love him in the most meaningful way.,Alice Levine,2
Series 6,Episode 10: He was a different man. (4 July 2018),5,"Live: Display a number. You get one rosette if your number is higher than the person's on your right and one if its lower than the person's on your left. If you display the same number as someone else, you lose them all.",Alice Levine,5
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),1,Prize: Best liquid.,Asim Chaudhry,1
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),2,"Perform the best stunt, using this wheelbarrow.",Asim Chaudhry,1
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),3,Make the highest tower using only what's in the bowl. You may wield the knife a maximum of 5 times.,Asim Chaudhry,1
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),4,"Wearing a hat, kiss the portrait of the Taskmaster in the Taskmaster's House. The hat must not come from the grounds of the Taskmaster's house. Closest to 30 minutes wins.",Asim Chaudhry,1
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),5,"Live: Sort the objects under the table in order of size. You must keep your elbows on the table top and your head in your hands at all times. The smallest object should be on your right, the largest on your left, and they must all be in line under your table. Also, there must be no fruit in your line-up. If there is any fruit left under your table, you will be disqualified.",Asim Chaudhry,4
Series 6,Episode 1: The old soft curved padlock. (2 May 2018),T,Spin around as many times as possible before kicking the ball at the caravan. Most spins wins.,Asim Chaudhry,–
Series 6,Episode 2: Tarpeters. (9 May 2018),1,Prize: Best hairy thing that isn't alive.,Asim Chaudhry,1
Series 6,Episode 2: Tarpeters. (9 May 2018),2,"Get the highest score in darts. You can either throw one dart from 1 metre away, three darts from 2.37 metres away, or sixty darts from 10 metres away. When throwing, please stand behind whichever distance line you choose.",Asim Chaudhry,3
Series 6,Episode 2: Tarpeters. (9 May 2018),3,Team: Keep Alex dry. You may not touch Alex at any point. You may not be within the compass when the shower is on.,Asim Chaudhry,1
Series 6,Episode 2: Tarpeters. (9 May 2018),4,"Take a picture of a group of people, each holding an egg. Most people holding eggs in a picture wins. You must be in your picture.",Asim Chaudhry,3
Series 6,Episode 2: Tarpeters. (9 May 2018),5,Make this wind-up little man go on the most extraordinary journey.,Asim Chaudhry,5
Series 6,Episode 2: Tarpeters. (9 May 2018),6,"Live: When instructed, put your grape in either your mouth or your hand whilst staring at the Taskmaster. You must then answer the Taskmaster's questions and fool the Taskmaster into thinking your grape is not where your grape is. You must not eat your grape. Your answer must contain at least five words. If the Taskmaster correctly guesses correctly where your grape is, you are eliminated.",Asim Chaudhry,0
Series 6,Episode 3: One warm prawn. (16 May 2018),1,Prize: Most magnificent day trip.,Asim Chaudhry,2
Series 6,Episode 3: One warm prawn. (16 May 2018),2,"Write, illustrate and read out a bedtime story for grown-ups. Your bedtime story for grown-ups may be no more or fewer than 50 words.",Asim Chaudhry,3
Series 6,Episode 3: One warm prawn. (16 May 2018),3,Make something spin for the longest. Your thing must not be a person.,Asim Chaudhry,4
Series 6,Episode 3: One warm prawn. (16 May 2018),Bonus: Whoever eats the most baby food.,0,Asim Chaudhry,0
Series 6,Episode 3: One warm prawn. (16 May 2018),5,"Live: Catch the most socks and put them in your laundry basket. You must stare straightforward throughout the task. You must not touch any pants. You must not move your laundry basket and if you drop a sock, you can't then pick it up. Every time you touch some pants, you lose a sock.",Asim Chaudhry,4
Series 6,Episode 4: BMXing! (23 May 2018),1,Prize: Most thought-provoking thing.,Asim Chaudhry,1
Series 6,Episode 4: BMXing! (23 May 2018),2,Do something manly with this cardboard box.,Asim Chaudhry,4
Series 6,Episode 4: BMXing! (23 May 2018),3,Team: Have the most fun.,Asim Chaudhry,3
Series 6,Episode 4: BMXing! (23 May 2018),Team: Exactly recreate your attempt at the first task.,5,Asim Chaudhry,5
Series 6,Episode 4: BMXing! (23 May 2018),4,Make the best art using the entire contents of this can of squirty cream.,Asim Chaudhry,1
Series 6,Episode 4: BMXing! (23 May 2018),5,"Remove the £5 note from under the pint without spilling any of the pint. If you spill any of the pint, you are disqualified.",Asim Chaudhry,4
Series 6,Episode 4: BMXing! (23 May 2018),6,"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identities. You may not speak during the task. Everyone must shake hands with the Taskmaster once for at least 2 seconds. If the Taskmaster guesses your identity, you are disqualified.",Asim Chaudhry,0
Series 6,Episode 5: H. (30 May 2018),1,Prize: Sturdiest thing.,Asim Chaudhry,1
Series 6,Episode 5: H. (30 May 2018),2,"Without leaving the caravan, work out how long this piece of string is.",Asim Chaudhry,4
Series 6,Episode 5: H. (30 May 2018),3,Pull this tablecloth off this table. Most eggs left unbroken on the table wins.,Asim Chaudhry,5
Series 6,Episode 5: H. (30 May 2018),4,Team: Find the link then do it 100 times.,Asim Chaudhry,5
Series 6,Episode 5: H. (30 May 2018),5,Pull off the most elaborate trick shot.,Asim Chaudhry,2
Series 6,Episode 5: H. (30 May 2018),6,Live: Throw as many eggs onto the shelves as possible. You must lie flat on your bed at all times.,Asim Chaudhry,2
Series 6,Episode 6: We met at mealtimes. (6 June 2018),1,Prize: Best thing that they've invented.,Asim Chaudhry,1
Series 6,Episode 6: We met at mealtimes. (6 June 2018),2,Make the best snow globe.,Asim Chaudhry,1
Series 6,Episode 6: We met at mealtimes. (6 June 2018),3,Team: Knock over as many ducks as possible. You must all remain on the red carpet throughout the task.,Asim Chaudhry,5
